bio10_5,bio10_prMay,lat,lon,lambda,N
-1.268224966,-1.261465053,2973880.134,2006535.591,0.781739965,0
-1.620174278,0.109139317,2973880.134,2009535.591,0.781714287,0
-1.550353242,-0.628173051,2973880.134,2012535.591,0.781714308,0
-1.266831786,-1.844137369,2973880.134,2015535.591,0.782608298,0
-0.930600818,-2.412552154,2973880.134,2018535.591,0.865658553,0
-1.133711956,-1.236639366,2973880.134,2021535.591,0.781794135,0
-1.010945843,-1.796387041,2973880.134,2024535.591,0.788208965,0
-1.167327962,-0.996748886,2973880.134,2027535.591,0.781727334,0
-1.374658449,-0.419893568,2973880.134,2030535.591,0.781714317,0
-1.13274946,-1.626435667,2973880.134,2033535.591,0.782544814,0
-0.968662451,-1.566252279,2973880.134,2036535.591,0.784316946,0
-1.351916831,-0.30567964,2973880.134,2039535.591,0.781714305,0
-1.489804161,-0.508704152,2973880.134,2042535.591,0.781714306,0
-1.350862956,-1.644002312,2973880.134,2045535.591,0.781861768,0
-1.485399795,-1.229327482,2973880.134,2048535.591,0.78171682,0
-1.537067431,-1.180438853,2973880.134,2051535.591,0.781715287,0
-1.333379335,-1.648711163,2973880.134,2054535.591,0.781875292,0
-1.442392812,-0.446527862,2973880.134,2057535.591,0.781714308,4
-1.284137622,-1.23922969,2973880.134,2060535.591,0.781733056,69
-0.882387634,-2.140720712,2973880.134,2063535.591,0.836315259,111
-0.94440842,-1.173426596,2973880.134,2066535.591,0.782052324,122
-0.853433643,-1.645278908,2973880.134,2069535.591,0.791350484,110
-0.855121035,-1.785864157,2973880.134,2072535.591,0.799784189,66
-0.846369621,-1.847638131,2973880.134,2075535.591,0.80446266,21
-0.95444267,-1.186951054,2973880.134,2078535.591,0.782017522,0
-0.869496901,-1.741435747,2973880.134,2081535.591,0.794356085,0
-0.861742392,-1.29748528,2973880.134,2084535.591,0.78311316,0
-1.080306549,-0.360400625,2973880.134,2087535.591,0.781714671,0
-0.956670186,-1.394710133,2973880.134,2090535.591,0.782791419,0
-0.910227178,-1.504884414,2973880.134,2093535.591,0.784338652,0
-0.981913565,-0.821946148,2973880.134,2096535.591,0.781737968,0
-0.952846705,-1.131960563,2973880.134,2099535.591,0.781953477,0
-0.98896418,-0.741188241,2973880.134,2102535.591,0.7817275,0
-0.949871753,-0.887913075,2973880.134,2105535.591,0.781768219,0
-0.910096206,-0.824438418,2973880.134,2108535.591,0.781768249,0
-0.808784986,-1.271179481,2973880.134,2111535.591,0.78367002,0
-0.832219822,-0.62671949,2973880.134,2114535.591,0.781744171,0
-0.889119059,-0.139083031,2973880.134,2117535.591,0.781714855,0
-0.942370239,0.081020759,2973880.134,2120535.591,0.781714364,0
-0.921865172,-0.318810156,2973880.134,2123535.591,0.781715802,0
-0.83188217,-0.8753466,2973880.134,2126535.591,0.781852624,0
-1.787127157,-0.744429376,2970880.134,1994535.591,0.781714291,0
-1.31279168,-1.456118436,2970880.134,1997535.591,0.781779068,0
-1.35030461,-1.033183045,2970880.134,2000535.591,0.781716934,0
-1.27611379,-1.190204968,2970880.134,2003535.591,0.781730919,0
-1.373709826,-0.513802915,2970880.134,2006535.591,0.781714349,0
-1.408248627,-0.345486558,2970880.134,2009535.591,0.781714303,0
-1.484923143,-0.362568168,2970880.134,2012535.591,0.781714296,0
-1.392950578,-1.07040253,2970880.134,2015535.591,0.781716293,0
-1.284937738,-1.530289669,2970880.134,2018535.591,0.781838018,0
-0.937496458,-2.363415985,2970880.134,2021535.591,0.852197511,0
-0.998796269,-1.431477113,2970880.134,2024535.591,0.782652263,0
-1.340923004,-0.523853778,2970880.134,2027535.591,0.781714364,0
-1.162045784,-1.230733895,2970880.134,2030535.591,0.781771685,0
-0.930371294,-1.942735292,2970880.134,2033535.591,0.801648215,0
-0.994555014,-1.806775938,2970880.134,2036535.591,0.788689427,0
-1.299476716,-0.700378623,2970880.134,2039535.591,0.781714736,0
-1.590028613,-0.35836145,2970880.134,2042535.591,0.78171429,0
-1.596259621,-0.821298311,2970880.134,2045535.591,0.781714337,0
-1.64561099,-0.614879094,2970880.134,2048535.591,0.781714297,0
-1.491060145,-1.278925686,2970880.134,2051535.591,0.781717342,3
-1.272554177,-1.767374171,2970880.134,2054535.591,0.782250756,52
